Input.text1,Input.text2,Answer.semantic-similarity.label,Input.dataset,Title,Description,Input.SE_Model,Input.SE_Thresh
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
skip the film and buy the philip glass soundtrack cd .,skip the films and buy the philip glass soundtrack cd .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Not sure,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
too clumsy in key moments . . . to make a big splash .,too clumsy in key moments . . . to make a vast splash .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Not sure,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .,romanek keeps added flourishes -- artsy fantasy sequences -- that simply feel amiss . they cheapen the totals effect .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .,romanek keeps added flourishes -- artsy fantasy sequences -- that simply feel amiss . they cheapen the totals effect .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
